Feature ID,Ranking (1 = most important),Feature
221,11,LEFT_WRIST_POS_x__maximum
226,11,LEFT_WRIST_POS_y__abs_energy
295,11,LEFT_HIP_POS_x__approximate_entropy__m_20__r_0.05
301,11,LEFT_HIP_POS_y__standard_deviation
329,11,RIGHT_HIP_POS_x__maximum
337,11,RIGHT_HIP_POS_y__standard_deviation
341,11,RIGHT_HIP_POS_y__c3__lag_1
348,11,RIGHT_HIP_DIST_x__autocorrelation__lag_1
355,11,RIGHT_HIP_DIST_y__standard_deviation
382,11,LEFT_KNEE_DIST_x__standard_deviation
427,11,RIGHT_KNEE_DIST_y__standard_deviation
435,11,LEFT_ANKLE_POS_x__mean
453,11,LEFT_ANKLE_DIST_x__mean
471,11,RIGHT_ANKLE_POS_x__mean
475,11,RIGHT_ANKLE_POS_x__approximate_entropy__m_20__r_0.05
485,11,RIGHT_ANKLE_POS_y__c3__lag_1
504,11,RIGHT_ANKLE_DIST_y__cid_ce__normalize_True
52,12,RIGHT_EYE_OUTER_POS_y__approximate_entropy__m_20__r_0.05
55,12,RIGHT_EYE_OUTER_DIST_x__abs_energy
91,12,LEFT_SHOULDER_DIST_x__abs_energy
107,12,LEFT_SHOULDER_DIST_y__c3__lag_1
120,12,RIGHT_SHOULDER_POS_y__mean
129,12,RIGHT_SHOULDER_DIST_x__mean
149,12,LEFT_ELBOW_POS_x__maximum
150,12,LEFT_ELBOW_POS_x__autocorrelation__lag_1
157,12,LEFT_ELBOW_POS_y__standard_deviation
159,12,LEFT_ELBOW_POS_y__autocorrelation__lag_1
208,12,RIGHT_ELBOW_DIST_y__abs_energy
211,12,RIGHT_ELBOW_DIST_y__standard_deviation
244,12,LEFT_WRIST_DIST_y__abs_energy
271,12,RIGHT_WRIST_DIST_x__abs_energy
277,12,RIGHT_WRIST_DIST_x__approximate_entropy__m_20__r_0.05
320,12,LEFT_HIP_DIST_y__maximum
327,12,RIGHT_HIP_POS_x__mean
351,12,RIGHT_HIP_DIST_x__cid_ce__normalize_True
369,12,LEFT_KNEE_POS_x__cid_ce__normalize_True
387,12,LEFT_KNEE_DIST_x__cid_ce__normalize_True
438,12,LEFT_ANKLE_POS_x__autocorrelation__lag_1
440,12,LEFT_ANKLE_POS_x__c3__lag_1
459,12,LEFT_ANKLE_DIST_x__cid_ce__normalize_True
472,12,RIGHT_ANKLE_POS_x__standard_deviation
481,12,RIGHT_ANKLE_POS_y__standard_deviation
16,13,LEFT_EYE_OUTER_POS_y__approximate_entropy__m_20__r_0.05
27,13,LEFT_EYE_OUTER_DIST_x__cid_ce__normalize_True
36,13,LEFT_EYE_OUTER_DIST_y__cid_ce__normalize_True
50,13,RIGHT_EYE_OUTER_POS_y__maximum
78,13,LEFT_SHOULDER_POS_x__autocorrelation__lag_1
